Rank,Title,Year of release,Number of Episodes,Rating,Description,Genre,Tags,Actors,,
#11,Prison Playbook,2017,16,9.1,"Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but now is a prison guard and one of Je Hyuk's biggest fans. The drama revolves around Je Hyuk's time in prison, as well as the prisoners he meets and events that take place there.","Comedy,  Crime,  Life,  Drama ","Prison, Bromance, Wrongfully Accused, Life Lesson, Slight Romance, Strong Male Lead, Character Development, Baseball, Gangster, Murder","Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam",,
#12,Lovely Runner,2024,16,9,"In the glitzy realm of stardom, Ryu Seon Jae shines as a top-tier celebrity, captivating the spotlight since his debut. Despite the facade of a perfect life, the demanding nature of the entertainment industry has left him utterly exhausted. Im Sol, an ardent admirer, holds an affectionate love for Ryu Seon Jae. A childhood accident derailed her dreams, yet the solace found in Ryu Seon Jae's music on the radio transformed her into an unwavering fan.","Music, Comedy, Romance, Fantasy","Butterfly Effect, Second Chance, Time Travel, Passionate Male Lead, Time Altering, Famous Male Lead, Love At First Sight, Determined Female Lead, Age Gap [Real Life], Past And Present","Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong",,
#13,Alchemy of Souls,2022,20,9,"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies. It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok?îJang Uk's servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny.","Action, Historical, Romance, Fantasy ","Magical Power, Supernatural, Transmigration, Strong Female Lead, Kind Male Lead, Multiple Mains, Master/Disciple Relationship, Master/Apprentice, Hidden Identity, Body Swap","Lee Jae Wook, Jung So Min, Hwang Hyun Min, Shin Seung Ho, Yoo Joon Sang, Oh Na Ra",,
#14,Study Group,2025,10,9,"It follows the life of student Yun Ga Min, who wants to be good at studying but is only good at fighting, as he forms a study group at the worst school on earth and tells a fierce story about college entrance exams.","Action, Thriller, Comedy, Youth","Student Male Lead, School Setting, High School, Adapted From A Webtoon, Tsundere Male Lead, Stabbing, Violent Friend, Student Female Lead, Violent Female Lead, Classmates' Relationship","Hwang Min Hyun, Han Ji Eun, Cha Woo Min, Lee Jong Hyun, Shin Su Hyun, Yoon Sang Jeong, Gong Do Yu",,
#15,Extraordinary Attorney Woo,2022,16,9,"Diagnosed with autism spectrum disorder, 27-year-old Woo Young Woo graduated at the top of her class from the prestigious Seoul National University for both college and law school due to her high IQ of 164, impressive memory, and creative thought process. Working as a lawyer, she finds herself struggling when it comes to social interactions.","Law, Romance, Life, Drama "," Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Law Firm, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character","Park Eun Bin, Kang Tae Oh, Kang Ki Young, Jeon Bae Soo, Baek Ji Won, Jin Kyung",,
#16,Mr. Queen,2020,20,9,"Jang Bong Hwan is a South Korean chef who has risen up the ranks to cook for the country?ôs top politicians in the Blue House?ôs presidential residences. After a serious accident, he finds himself in the body of the young queen, Kim So Yong, when whisked away to an era deep in Korea?ôs past.","Historical,  Mystery,  Comedy,  Romance ","Smart Male Lead, Transmigration, Calm Male Lead, Joseon Dynasty, Time Travel, Sassy Female Lead, Body Swap, Gender Swap, Eccentric Female Lead, Power Struggle","Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah",,
#17,Mother,2018,16,9,"Realizing one of her students is being abused, school teacher and bird researcher Soo Jin impulsively kidnaps the girl and acts as a substitute mother in an attempt to take care of her.","Thriller,  Mystery,  Psychological,  Melodrama ","Mother-Daughter Relationship, Independent Female Lead, Orphan Female Lead, Smart Female Lead, Child Abuse, Adoption, Strong Female Lead, Motherhood, Psychopath, Cohabitation","Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol",,
#18,It's Okay to Not Be Okay,2020,16,9,"Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more. Meanwhile, Ko Moon Young is a popular writer of children?ôs literature who, due to suffering from an antisocial personality disorder, seems extremely selfish, arrogant, and rude.","Psychological,  Comedy,  Romance,  Drama ","Sibling Relationship, Melodrama, Mental Health, Independent Female Lead, Emotionally Wounded, Successful Female Lead, Healing, Caregiver, Childhood Connection, Psychiatry","Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan",,
#19,Crash Landing on You,2019,16,9,"After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.","Military,  Comedy,  Romance,  Political ","North And South Korea, Star Crossed Lovers, Lovers From Different Countries, Strong Male Lead, Army Officer, Rich Female Lead, North Korean, Soldier, Fate, Nice Male Lead","Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young",,
#20,Vincenzo,2021,20,9,"At the age of eight, Park Joo Hyeong went to Italy after being adopted. Now an adult, he is known as Vincenzo Cassano to the Mafia, who employ him as a consigliere. Because mafia factions are at war with each other, he flees to South Korea, where he gets involved with Lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back at his motherland, he gives an unrivaled conglomerate a taste of its own medicine with a side of justice.","Comedy,  Law,  Crime,  Drama ","Mafia, Revenge, Smart Male Lead, Eccentric Female Lead, Injustice, Charming Male Lead, Bromance, Father-Daughter Relationship, Badass Male Lead, Smart Female Lead","Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon, Kim Yeo Jin, Jo Han Chul, Kwak Dong Yeon",,
#21,Navillera,2021,12,9,A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,"Friendship,  Life,  Drama,  Family ","Ballet, Dream, Life Lesson, Old-Young Generation, Unusual Friendship, Ballet Dancer, Personal Growth, Adapted From A Webtoon, Father-Son Relationship, Second Chance","Park In Hwan, Song Kang, Na Moon Hee, Hong Seung Hee, Kim Tae Hoon, Yoon  Ji Hye",,
#22,Signal,2016,16,9,"Fifteen years ago, a young girl was kidnapped on the way from school, and Park Hae Yeong, who was an elementary school student at that time, witnessed the crime. A few days later, the girl was found dead, and the police were not able to find the culprit. As time went by, Hae Yeong started distrusting the police. ","Thriller,  Mystery,  Sci-Fi ","Different Timelines, Hwaseong Serial Murders, Murder, Criminal Profiler, Serial Killer, Tragic Past, Smart Female Lead, Corruption, Time Altering, Kidnapping","Lee Je Hoon, Kim Hye Soo, Jo Jin Woong, Kim Won Hae, Lee Yoo Joon, Jang Hyun Sung",,
#23,Mr. Sunshine,2018,24,8.9,"Mr. Sunshine centers on a young boy born into a house servant's family and travels to the United States during the 1871 Shinmiyangyo (U.S. expedition to Korea). He returns to his homeland later as a U.S. marine officer. He meets and falls in love with an aristocrat?ôs daughter. At the same time, he discovers a plot by foreign forces to colonize Korea.  Edit Translation  English ?úÍµ≠??‰∏≠Ê?(ÁÆÄ‰Ω? ????–∫–∏–π","Military,  Historical,  Romance,  Melodrama ","Independent Female Lead, Strong Male Lead, Strong Female Lead, Smart Male Lead, Bromance, Soldier, Foreigner, Rebellion, Japanese Colonial Rule, Sismance","Lee Byung Hun, Kim Tae Ri, Kim Min Jung, Yoo Yeon Seok, Byun Yo Han, Kim Gab Soo",,
#24,Happiness,2021,12,8.9,A deadly new strain of a virus is spreading throughout the city. An apartment building that is home to people from different classes remains in quarantine. Its residents must survive in their new habitat fearing both the virus and the potential conflicts between disparate social groups.,"Action,  Thriller,  Drama,  Fantasy ","Disease, Strong Female Lead, Survival, Virus, Fake Marriage, Zombies, Discrimination, Slow Burn Romance, Infectious Disease, Illness","Han Hyo Joo, Park Hyung Sik, Jo  Woo Jin, Lee Joon Hyuk, Park Joo Hee, Baek Hyun Jin",,
#25,Kingdom: Season 2,2020,6,8.9,"Following the events in season one, waves of the undead threaten to reach the capital. In an attempt to save the people during the plague and regain his right to the throne, Crown Prince Lee Chang pursues Jo Hak Joo to overthrow him, while the Queen is in a race against time to produce an heir to the throne. ","Thriller,  Historical,  Horror,  Supernatural ","Zombies, Corruption, Strong Male Lead, Gore, Strong Female Lead, Power Struggle, Smart Female Lead, Death, Palace Politics, Greed","Joo Ji Hoon, Bae Doo Na, Kim Sung Gyu, Ryu Seung Ryong, Kim  Sang Ho, Jun Suk Ho",,
#26,The Good Bad Mother,2023,14,8.9,"Young Soon is a single mother and pig farmer who raised her son Kang Ho alone. Despite her love for him, her strict parenting caused Kang Ho to view her as a bad mother. As an adult, Kang Ho became a cold-hearted prosecutor and kept his distance from his mother. However, an unexpected accident caused him to return to his hometown and start over with Young Soon. Kang Ho's childhood friend Mi Joo, known for her warm heart and strong sense of justice, also reconnected with him after his accident, leading to a transformative experience for her.","Comedy, Life, Drama, Family","Mother-Son Relationship, Village Setting, Death Of A Husband, Mean Parent, Abusive Parent, Age Regression, Determined Female Lead, Controlling Parent, Farmer Female Lead, Foreigner Supporting Character","Ra Mi Ran, Lee Do Hyun, Ahn Eun Jin, Yoo In Soo",,
#27,The Glory,2022,8,8.9,"A high school student dreams of becoming an architect. However, she had to drop out of school after suffering from brutal school violence. Years later, the perpetrator gets married and has a kid. Once the kid is in elementary school, the former victim becomes her homeroom teacher and starts her thorough revenge towards the perpetrators and bystanders of her bullying days.","Thriller, Drama, Melodrama","Revenge, School Bullying, School Violence, Sexual Content, Social Issues, Doctor Male Lead, Time Skip, Antiheroine Female Lead, Nonlinear Narrative, Teacher Female Lead ","Song Hye Kyo, Lee Do Hyun, Im Ji Yeon, Yeom Hye Ran, Park Sung Hoon, Jung Sung Il",,
#28,SKY Castle,2018,20,8.9,"Han Seo Jin, Noh Seung Hye, Jin Jin Hee, and Lee Myung Joo all live with their families in SKY Castle, a luxury private neighborhood hosting wealthy doctors and professors. All of the women wish for their children to enter prestigious universities and are actively supporting their education.","Mystery,  Psychological,  Drama,  Family ","Multiple Mains, Social Commentary, Sibling, Medical, Social Satire, Female Centered Plot, Satire, Hospital, Mother-Daughter Relationship, Death","Yeom Jung Ah, Lee Tae Ran, Yoon Se Ah, Oh Na Ra, Kim Seo Hyung, Jung Joon Ho",,
#29,Tomorrow,2022,16,8.9,"Choi Joon Woong seeks a job, but it's hard for him to get hired. One night, he witnesses a man trying to end his life and decides to stop him. He gets acquainted with grim reapers Koo Ryeon and Im Ryoong Gu, who belong to a crisis management team. Their purpose is to prevent people from committing suicide. After Joon Woong ends up in a coma and becomes half-human and half-spirit, he is employed by a company of grim reapers as the newest member of the crisis management team.","Action, Thriller, Drama, Fantasy ","Grim Reaper Female Lead, Grim Reaper Male Lead, Underworld, Attempted Suicide, Death, Suicide, Afterlife, Suicide Prevention, Coma, Team Leader Female Lead","Kim Hee Sun, Rowoon, Lee Soo Hyuk, Yun Ji On, Kim Hae Sook, Kim Nu Ri",,
#30,Healer,2014,20,8.9,"Seo Jung Hoo is a special kind of night courier, known only as ""Healer"" by his clients. For the right price and with the help of a genius hacker, he gets his clients whatever they want, as long as it doesn't involve murder. His latest job leads him to a second-rate tabloid writer, Chae Young Shin, and the successful reporter, Kim Moon Ho. He begins to uncover the mystery of his own shared past with the two reporters, thus putting them all in danger. Edit Translation  English ????–∫–∏–π ?ŒªŒªŒ∑ŒΩŒπŒ∫Œ¨ Italiano","Action,  Thriller,  Mystery,  Romance ","Double Identity, Hidden Identity, Smart Male Lead, Strong Male Lead, Childish Female Lead, Fight, Secret, Sassy Female Lead, Reporter, Trauma","Ji Chang Wook, Park Min Young, Yoo Ji Tae, Kim  Mi Kyung, Park Sang Won, Do Ji Won",,
#31,Stranger,2017,16,8.9,"Hwang Shi Mok underwent brain surgery as a child to curb his violent temper, which left him devoid of emotions.  Hwang becomes a prosecutor known for his piercing intelligence and logic, but he is ostracized because he lacks empathy and social skills. He is also one of only a handful of upright prosecutors who have refused to take bribes. One day, he encounters a stabbing victim while investigating corruption. He meets Lieutenant Han Yeo Jin at the crime scene. They join forces to root out corruption at the prosecutors??office and solve a serial murder case.","Thriller,  Mystery,  Law,  Drama ","Suspense, Investigation, Corruption, Crime Solving Duo, Murder, Calm Male Lead, Alexithymia, Emotionless Male Lead, Strong Female Lead, Smart Female Lead","Jo Seung Woo, Bae Doo Na, Lee Joon Hyuk, Yoo Jae Myung, Shin Hye Sun, Choi Jae Woong",,
#32,Twenty-Five Twenty-One,2022,16,8.8,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life. Na Hee Do is a member of her high school fencing team. Due to the South Korean financial crisis, the high school fencing team gets disbanded. Getting through all the difficulties, she becomes a member of the national fencing team. The South Korean financial crisis also causes Baek Yi Jin?ôs father's business to go bankrupt. This leads to a life change for Baek Yi Jin, from living the life of a wealthy person to a poor person. While studying, he works part-time jobs like delivering newspapers. Later, he becomes a sports reporter for a broadcasting network.","Romance, Life, Drama, Melodrama ","Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, IMF Crisis, High School To Working Life, High School, Competition, Enemies To Friends","Kim Tae Ri, Nam Joo Hyuk, Bona, Choi Hyun Wook, Lee Joo Myung, Seo Jae Hee",,
#33,Tale of the Nine-Tailed 1938,2023,12,8.8,"An unexpected case leads Lee Yeon back in time to 1938, where he reencounters Ryu Hong Ju. Once a guardian spirit of the mountain in the west, she's now the owner of a high-end restaurant in the capital city of Gyeongseong. He also meets his younger brother, Lee Rang. Meanwhile, another former guardian spirit and ex-friend, Cheon Mu Yeong, has become hostile. Lee Yeon struggles to return to the present, to his loved one.","Historical, Horror, Romance, Fantasy","Nine-tailed Fox, Action, Supernatural, 1930s, Bromance, Brothers' Relationship, Time Travel, Badass Male Lead, Friendship, Suspense ","Lee Dong Wook, Kim So Yeon, Kim Bum, Ryu Kyung Soo, Kim Yong Ji, Hwang Hee",,
#34,The Red Sleeve,2021,17,8.8,"In Korea during the second half of the 1700s, Yi San is an aloof and perfection-loving young prince. His father?ôs killing haunts him, although it leaves him in the position to take the throne once his grandfather ??the cruel and ruthless current king responsible for Yi San?ôs father?ôs death ??dies. He has resolved to become a benevolent monarch who will reform the law when he eventually takes the throne, but the way his father was killed has scarred him emotionally. At court, he meets a young woman named Sung Deok Im. Yi San falls in love with her and tries to convince her to become his official concubine. But Sung Deok Im is strong-willed and free-spirited. She is also intelligent enough to understand that becoming a royal consort to the future king is a prestigious role, but one that would restrict her freedom and likely bring her little in the way of joy. But Yi San?ôs love for Sung Deok Im is true, and she starts to understand that forming a union with him could ultimately benefit his troubled realm.","Historical, Romance, Drama, Melodrama ","Noble Man/Common Woman, Tearjerker, Death, Joseon Dynasty, Strong Male Lead, Male Chases Female First, Smart Female Lead, Master-Servant Relationship, Strong Female Lead, King Male Lead","Lee Jun Ho, Lee Se Young, Kang Hoon, Lee Deok Hwa, Park Ji Young, Jang Hee Jin",,
#35,Goblin,2016,16,8.8,"Kim Shin was once an unbeatable general in Goryeo's military who died a tragic death. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Shin has searched for his bride, a mortal who can pull out the sword and end his life. One day, he encounters Ji Eun Tak, a positive, upbeat high school student who can see the dead and has gone through tragic events, yet still stays strong. She claims to be the Goblin's bride who can end his immortal life, but what appears to be an easy task, only gets complicated, as the two fall in love.","Comedy,  Romance,  Fantasy,  Melodrama ","Supernatural, Grim Reaper, Older Man/Younger Woman, Interspecies Romance, Dokkaebi, Fate, Tearjerker, Bromance, Death, Heartfelt","Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae, Lee El",,
#36,The Uncanny Counter,2020,16,8.8,Tells the story of demon hunters called Counters who come to earth under the guise of being employees at a noodle restaurant in order to capture evil spirits that have returned to earth in pursuit of eternal life.,"Action,  Mystery,  Drama,  Supernatural ","Special Power, Righteous Male Lead, Evil Spirit, Strong Female Lead, Multiple Mains, Orphan Male Lead, Spirit, School Bullying, Childhood Trauma, Nice Male Lead","Cho Byeong Kyu, Yoo  Joon Sang, Kim Se Jeong, Yeom Hye Ran, Ahn Suk Hwan, Lee Hong Nae",,
#37,Mouse,2021,20,8.7,"A suspenseful story that asks the key question, ?úWhat if we could identify psychopaths in advance???A crazed serial killer?ôs ruthless murders have left the entire nation gripped with fear, and chaos reigns. Justice-seeking rookie police officer, Jung Ba Reum, comes face to face with the killer. While he survives his dangerous encounter with the psychopath, Jung Ba Reum finds his life completely changing before his eyes.","Thriller,  Mystery,  Sci-Fi ","Psychopath, Murder, Serial Killer, Investigation, Character Development, Detective, Neurosurgeon, Extreme Violence, Child Sexual Abuse, Flashback To Past","Lee Seung Gi, Lee Hee Joon, Park Joo Hyun, Kyung Soo Jin, Woo Ji Hyun, Ahn Jae Wook",,
#38,Kingdom,2019,6,8.8,"No sooner does the Joseon King succumb to smallpox, do the rumors of his death begin. The Cho Clan, the clan of the pregnant Queen and her father, Chief State Councillor Cho Hak Joo, declares the Crown Prince a traitor.","Thriller,  Historical,  Horror,  Political ","Joseon Dynasty, Adapted From A Webtoon, Power Struggle, Gore, Nice Male Lead, Strong Male Lead, Survival, Corruption, Strong Female Lead, Epidemic","Joo Ji Hoon, Ryu Seung Ryong, Bae Doo Na, Kim Sung Gyu, Kim Chan Yi, Kim  Sang Ho",,
#39,Weightlifting Fairy Kim Bok Joo,2016,16,8.8,"Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine when it comes to relationships. Focusing solely on weightlifting would jeopardize her relationship but leaving her weightlifting career for love would keep her from attaining her dreams. Can she find a way to have love as well as glory at the age of 20? The characters within this drama are elite athletes in weightlifting, swimming and rhythmic gymnastics who work hard to reach their goals in life. It covers their coming-of-age stories and relationships through hectic life.","Comedy,  Romance,  Youth,  Sports ","College Life, Dream, Friends To Lovers, Weightlifting, Strong Female Lead, Bantering Relationship, Male Chases Female First, Tomboy, Swimming, Sismance","Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin, Cho Hye Jung, Lee Joo Young",,
#40,D.P.,2021,6,8.8,"Private soldier Jun Ho is a confused youth who served in the military normally like other Koreans. One day, he suddenly becomes a member of the military defector arrest team. As such, he is tasked with capturing deserters and must grapple with the more troubling cases of why some soldiers feel they have no other choice but go absent without official leave.","Action,  Military,  Comedy,  Drama ","Abuse, Soldier, Military Abuse, Violence, PTSD, Bromance, Overcoming Trauma, Adapted From A Webtoon, Sexual Assault, Desertion","Jung Hae In, Koo Kyo Hwan, Kim Sung Kyun, Son Seok Koo, Hong Kyung, Jo Hyun Chul",,
#41,The Devil Judge,2021,16,8.8,"Set in a dystopian version of present-day Korea where daily life is chaos and society has collapsed to the point that people openly voice their distrust and hatred for their leaders. In this world bereft of law and order, Head Trial Judge Kang signals the need for change. His courtroom is the subject of a reality show where he mercilessly punishes the guilty, earning him the ""Devil Judge"" nickname. As a divisive figure with an aura of mystery that belies his true identity and ambitions, the public is unsure whether he is a true hero or someone, knowingly sowing the seeds of discontent in his courtroom. ","Mystery,  Law,  Crime,  Drama ","Judge, Tough Past, Dystopia, Antihero, Bromance, Hardworking Male Lead, Courtroom, Corruption, Strong Female Lead, Mysterious Male Lead","Ji Sung, Kim Min Jung, Park Jin Young, Park Gyu Young, Jeon Chae Eun, Kim Jae Kyung",,
#42,The Penthouse,2020,21,8.8,"The residents of Hera Palace, a luxury penthouse apartment with 100 floors, have many secrets and hidden ambitions. Sim Su Ryeon, who was born into wealth, is the queen of the penthouse apartment. Cheon Seo Jin, the prima donna of the residence, does all she can to give everything to her daughter. Oh Yoon Hee comes from a poor family background, but she strives to enter high society by becoming the queen of the penthouse, the pinnacle of success in her eyes. A battle for wealth, power, and prestige at Seoul?ôs most coveted penthouse begins.","Thriller,  Mystery,  Drama,  Family ","Betrayal, Revenge, Greed, Jealousy, Female Centered Plot, Married Couple, Opera Singer, Motherhood, Twins, School Bullying","Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung",,
